Company,Stock,2014,2015,2016,2017,2018,2019,2020,2021,2022
Exxon Mobil,XOM,-4162,0,0,0,0,0,0,0,0
Tesco,TSCO.L,-1666,0,0,0,0,0,0,0,0
Phillips 66,PSX,-1594,4530,1915,1100,-7545,0,0,0,0
IBM,IBM,-429,-1197,2332,-13484,0,0,0,0,0
Munich Re,MUV2.DE,-392,-4023,0,0,0,0,0,0,0
Sanofi,SNY,-322,-136,-105,-1791,0,0,0,0,0
Apple,AAPL,0,0,7093,21120,12058,33396,44197.8,43290.2,-44850
HP,HPQ,0,0,0,0,0,0,0,0,2807
Activision Blizzard,ATVI,0,0,0,0,0,0,0,0,4035
Oxy,OXY,0,0,0,0,0,0,0,0,12242
Bank of America,BAC,0,0,0,20664,1978,10738,2294.7,10277.3,-12498
Kraft Foods,KHC,0,0,0,0,0,0,12204.8,-12204.8,13256
Verizon,VZ,0,0,0,0,0,0,8282.1,-29.1,-8253
Chevron,CVX,0,0,0,0,0,0,4646.2,-158.2,24764
The Bank of NYM,BK,0,0,0,2871,1106,124,-954.6,735.6,-3882
Charter Communications,CHTR,0,1367,588,326,-346,697,534.1,-670.1,-2496
AbbVie,ABBV,0,0,0,0,0,0,2681.2,-2681.2,0
JPMorgan Chase,JPM,0,0,0,0,4946,3426,-8372,0,0
Merck & Co,MRK,0,0,0,0,0,0,2132.5,-2132.5,0
Visa,V,0,0,0,0,0,1924,120.7,-2044.7,0
General Motors,GM,0,0,0,1825,-1825,0,3811.3,-705.3,-3106
Gillette,GILLETTE.BO,0,0,0,0,0,0,0,0,0
ABC,DIS,0,0,0,0,0,0,0,0,0
GEICO,BRK-A,0,0,0,0,0,0,0,0,0
Freddie Mac,FMCC,0,0,0,0,0,0,0,0,0
Walt Disney,DIS,0,0,0,0,0,0,0,0,0
Mc Donalds,MCD,0,0,0,0,0,0,0,0,0
Washington Post,WPO,0,0,0,0,0,0,0,0,0
H&R Block,HRB,0,0,0,0,0,0,0,0,0
M&T Bank,MTB,0,0,0,0,0,0,0,0,0
PetroChina,PTR,0,0,0,0,0,0,0,0,0
HCA,HCA,0,0,0,0,0,0,0,0,0
White Mountains,WTM,0,0,0,0,0,0,0,0,0
Ameriprise,AMP,0,0,0,0,0,0,0,0,0
Anheuser-Busch,BUD,0,0,0,0,0,0,0,0,0
J&J,JNJ,0,0,0,0,0,0,0,0,0
Burlington NSF,BURL,0,0,0,0,0,0,0,0,0
Swiss Re,SREN.VX,0,0,0,0,0,0,0,0,0
BYD,1211.HK,0,0,0,1961,-1961,0,0,7693,-7693
AT&T,T,0,1603,-1603,0,0,0,0,0,0
Delta Airlines,DAL,0,0,2702,272,296,877,-4147,0,0
Southwest Airlines,LUV,0,0,2153,966,-893,294,-2520,0,0
UC Holdings,UCHC,0,0,1940,-1940,1837,96,-1933,0,0
Verisign,VRSN,0,0,0,0,0,0,2536.9,-2536.9,2632
ITOCHU,ITOCY,0,0,0,0,0,0,0,2728,-2728
Mitsubishi,MSBHY,0,0,0,0,0,0,0,2593,-2593
Mitsui & Co.,MITSY,0,0,0,0,0,0,0,2219,-2219
Goldman Sachs,GS,217,-479,674,175,236,-279,-2859,0,0
American Express,AXP,350,-3561,686,3825,-604,4422,1094.6,4835.4,-2404
Coca-Cola,KO,364,296,-600,1768,588,3200,-2096,3640,1760
P&G,PG,411,0,-4683,0,0,0,0,0,0
Moody's,MCO,428,111,-149,1316,-187,2402,1060.9,2718.1,-2763
US Bancorp,USB,472,-9,887,332,1123,2176,-1422.7,616.7,-8058
DIRECTV,DTV,598,-2134,0,0,0,0,0,0,0
USG Corp,USG,1214,-1214,1253,-1253,1851,-1851,0,0,0
Wal-Mart,WMT,1345,-1922,-3893,0,0,0,0,0,0
Deere,DE,1365,325,-1690,0,0,0,0,0,0
DaVita,DVA,1402,-111,-1291,0,0,0,3684.2,-3684.2,2695
Wells Fargo,WFC,4554,676,375,1721,-8570,-2108,-18598,0,0